county,candidate,votes,district,party,office
Lorain,Eva Braiman,1,,WI,Governor
Lucas,Bob Taft,76572,,R,Governor
Lucas,Timothy Hagan,49648,,D,Governor
Lucas,John Eastman,3263,,,Governor
Lucas,James Whitman,2,,WI,Governor
Lucas,Eva Braiman,1,,WI,Governor
Madison,Bob Taft,6947,,R,Governor
Madison,Timothy Hagan,2932,,D,Governor
Madison,John Eastman,647,,,Governor
Madison,Eva Braiman,0,,WI,Governor
Madison,James Whitman,0,,WI,Governor
Mahoning,Timothy Hagan,43110,,D,Governor
Mahoning,Bob Taft,40149,,R,Governor
Mahoning,John Eastman,3617,,,Governor
Mahoning,Eva Braiman,62,,WI,Governor
Mahoning,James Whitman,62,,WI,Governor
Marion,Bob Taft,10582,,R,Governor
Marion,Timothy Hagan,5704,,D,Governor
Marion,John Eastman,1006,,,Governor
Marion,Eva Braiman,0,,WI,Governor
Marion,James Whitman,0,,WI,Governor
Medina,Bob Taft,27436,,R,Governor
Medina,Timothy Hagan,17998,,D,Governor
Medina,John Eastman,1614,,,Governor
Medina,Eva Braiman,0,,WI,Governor
Medina,James Whitman,0,,WI,Governor
Meigs,Bob Taft,4517,,R,Governor
Meigs,Timothy Hagan,1970,,D,Governor
Meigs,John Eastman,403,,,Governor
Meigs,Eva Braiman,0,,WI,Governor
Meigs,James Whitman,0,,WI,Governor
Mercer,Bob Taft,11001,,R,Governor
Mercer,Timothy Hagan,3237,,D,Governor
Mercer,John Eastman,595,,,Governor
Mercer,James Whitman,1,,WI,Governor
Mercer,Eva Braiman,0,,WI,Governor
Miami,Bob Taft,20743,,R,Governor
Miami,Timothy Hagan,7297,,D,Governor
Miami,John Eastman,1531,,,Governor
Miami,James Whitman,11,,WI,Governor
Miami,Eva Braiman,0,,WI,Governor
Monroe,Bob Taft,2482,,R,Governor
Monroe,Timothy Hagan,2421,,D,Governor
Monroe,John Eastman,182,,,Governor
Monroe,Eva Braiman,0,,WI,Governor
Monroe,James Whitman,0,,WI,Governor
Montgomery,Bob Taft,95891,,R,Governor
Montgomery,Timothy Hagan,59584,,D,Governor
Montgomery,John Eastman,5786,,,Governor
Montgomery,James Whitman,18,,WI,Governor
Montgomery,Eva Braiman,4,,WI,Governor
Morgan,Bob Taft,2975,,R,Governor
Morgan,Timothy Hagan,1378,,D,Governor
Morgan,John Eastman,281,,,Governor
Morgan,Eva Braiman,0,,WI,Governor
Morgan,James Whitman,0,,WI,Governor
Morrow,Bob Taft,6093,,R,Governor
Morrow,Timothy Hagan,2799,,D,Governor
Morrow,John Eastman,681,,,Governor
Morrow,Eva Braiman,0,,WI,Governor
Morrow,James Whitman,0,,WI,Governor
Muskingum,Bob Taft,14990,,R,Governor
Muskingum,Timothy Hagan,6279,,D,Governor
Muskingum,John Eastman,1162,,,Governor
Muskingum,James Whitman,2,,WI,Governor
Muskingum,Eva Braiman,0,,WI,Governor
Noble,Bob Taft,2438,,R,Governor
Noble,Timothy Hagan,1628,,D,Governor
Noble,John Eastman,217,,,Governor
Noble,Eva Braiman,0,,WI,Governor
Noble,James Whitman,0,,WI,Governor
Ottawa,Bob Taft,9428,,R,Governor
Ottawa,Timothy Hagan,5073,,D,Governor
Ottawa,John Eastman,469,,,Governor
Ottawa,James Whitman,1,,WI,Governor
Ottawa,Eva Braiman,0,,WI,Governor
Paulding,Bob Taft,3972,,R,Governor
Paulding,Timothy Hagan,1939,,D,Governor
Paulding,John Eastman,256,,,Governor
Paulding,Eva Braiman,0,,WI,Governor
Paulding,James Whitman,0,,WI,Governor
Perry,Bob Taft,5102,,R,Governor
Perry,Timothy Hagan,3422,,D,Governor
Perry,John Eastman,540,,,Governor
Perry,Eva Braiman,0,,WI,Governor
Perry,James Whitman,0,,WI,Governor
Pickaway,Bob Taft,7432,,R,Governor
Pickaway,Timothy Hagan,3775,,D,Governor
Pickaway,John Eastman,676,,,Governor
Pickaway,Eva Braiman,0,,WI,Governor
Pickaway,James Whitman,0,,WI,Governor
Pike,Bob Taft,4046,,R,Governor
Pike,Timothy Hagan,3377,,D,Governor
Pike,John Eastman,284,,,Governor
Pike,Eva Braiman,0,,WI,Governor
Pike,James Whitman,0,,WI,Governor
Portage,Bob Taft,19887,,R,Governor
Portage,Timothy Hagan,19708,,D,Governor
Portage,John Eastman,1933,,,Governor
Portage,James Whitman,2,,WI,Governor
Portage,Eva Braiman,0,,WI,Governor
Preble,Bob Taft,7832,,R,Governor
Preble,Timothy Hagan,3112,,D,Governor
Preble,John Eastman,700,,,Governor
Preble,James Whitman,2,,WI,Governor
Preble,Eva Braiman,0,,WI,Governor
Putnam,Bob Taft,8592,,R,Governor
Putnam,Timothy Hagan,3110,,D,Governor
Putnam,John Eastman,620,,,Governor
Putnam,James Whitman,1,,WI,Governor
Putnam,Eva Braiman,0,,WI,Governor
Richland,Bob Taft,21963,,R,Governor
Richland,Timothy Hagan,13520,,D,Governor
Richland,John Eastman,1327,,,Governor
Richland,James Whitman,1,,WI,Governor
Richland,Eva Braiman,0,,WI,Governor
Ross,Bob Taft,10871,,R,Governor
Ross,Timothy Hagan,6714,,D,Governor
Ross,John Eastman,725,,,Governor
Ross,Eva Braiman,0,,WI,Governor
Ross,James Whitman,0,,WI,Governor
Sandusky,Bob Taft,12187,,R,Governor
Sandusky,Timothy Hagan,6149,,D,Governor
Sandusky,John Eastman,696,,,Governor
Sandusky,Eva Braiman,0,,WI,Governor
Sandusky,James Whitman,0,,WI,Governor
Scioto,Bob Taft,12161,,R,Governor
Scioto,Timothy Hagan,8867,,D,Governor
Scioto,John Eastman,817,,,Governor
Scioto,Eva Braiman,0,,WI,Governor
Scioto,James Whitman,0,,WI,Governor
Seneca,Bob Taft,11101,,R,Governor
Seneca,Timothy Hagan,4780,,D,Governor
Seneca,John Eastman,735,,,Governor
Seneca,Eva Braiman,0,,WI,Governor
Seneca,James Whitman,0,,WI,Governor
Shelby,Bob Taft,10190,,R,Governor
Shelby,Timothy Hagan,3812,,D,Governor
Shelby,John Eastman,769,,,Governor
Shelby,James Whitman,18,,WI,Governor
Shelby,Eva Braiman,0,,WI,Governor
Stark,Bob Taft,64932,,R,Governor
Stark,Timothy Hagan,44840,,D,Governor
Stark,John Eastman,4709,,,Governor
Stark,James Whitman,2,,WI,Governor
Stark,Eva Braiman,0,,WI,Governor
Summit,Timothy Hagan,77928,,D,Governor
Summit,Bob Taft,75340,,R,Governor
Summit,John Eastman,5965,,,Governor
Summit,James Whitman,13,,WI,Governor
Summit,Eva Braiman,0,,WI,Governor
Trumbull,Timothy Hagan,35364,,D,Governor
Trumbull,Bob Taft,33718,,R,Governor
Trumbull,John Eastman,2612,,,Governor
Trumbull,James Whitman,1,,WI,Governor
Trumbull,Eva Braiman,0,,WI,Governor
Tuscarawas,Bob Taft,13457,,R,Governor
Tuscarawas,Timothy Hagan,10639,,D,Governor
Tuscarawas,John Eastman,993,,,Governor
Tuscarawas,James Whitman,1,,WI,Governor
Tuscarawas,Eva Braiman,0,,WI,Governor
Union,Bob Taft,8631,,R,Governor
Union,Timothy Hagan,2723,,D,Governor
Union,John Eastman,762,,,Governor
Union,James Whitman,2,,WI,Governor
Union,Eva Braiman,0,,WI,Governor
Van Wert,Bob Taft,6561,,R,Governor
Van Wert,Timothy Hagan,2085,,D,Governor
Van Wert,John Eastman,400,,,Governor
Van Wert,James Whitman,1,,WI,Governor
Van Wert,Eva Braiman,0,,WI,Governor
Vinton,Bob Taft,2135,,R,Governor
Vinton,Timothy Hagan,1448,,D,Governor
Vinton,John Eastman,210,,,Governor
Vinton,Eva Braiman,0,,WI,Governor
Vinton,James Whitman,0,,WI,Governor
Warren,Bob Taft,37388,,R,Governor
Warren,Timothy Hagan,9833,,D,Governor
Warren,John Eastman,1945,,,Governor
Warren,James Whitman,2,,WI,Governor
Warren,Eva Braiman,0,,WI,Governor
Washington,Bob Taft,11499,,R,Governor
Washington,Timothy Hagan,6045,,D,Governor
Washington,John Eastman,728,,,Governor
Washington,James Whitman,2,,WI,Governor
Washington,Eva Braiman,0,,WI,Governor
Wayne,Bob Taft,20340,,R,Governor
Wayne,Timothy Hagan,9061,,D,Governor
Wayne,John Eastman,1113,,,Governor
Wayne,Eva Braiman,0,,WI,Governor
Wayne,James Whitman,0,,WI,Governor
Williams,Bob Taft,7731,,R,Governor
Williams,Timothy Hagan,2967,,D,Governor
Williams,John Eastman,492,,,Governor
Williams,James Whitman,2,,WI,Governor
Williams,Eva Braiman,0,,WI,Governor
Wood,Bob Taft,25172,,R,Governor
Wood,Timothy Hagan,11521,,D,Governor
Wood,John Eastman,1189,,,Governor
Wood,James Whitman,4,,WI,Governor
Wood,Eva Braiman,1,,WI,Governor
Wyandot,Bob Taft,4383,,R,Governor
Wyandot,Timothy Hagan,1618,,D,Governor
Wyandot,John Eastman,291,,,Governor
Wyandot,James Whitman,2,,WI,Governor
Wyandot,Eva Braiman,0,,WI,Governor
Adams,J. Kenneth Blackwell,4337,,R,Secretary of State
Adams,Bryan Flannery,2353,,D,Secretary of State
Allen,J. Kenneth Blackwell,20099,,R,Secretary of State
Allen,Bryan Flannery,8940,,D,Secretary of State
Ashland,J. Kenneth Blackwell,9874,,R,Secretary of State
Ashland,Bryan Flannery,4614,,D,Secretary of State
Ashtabula,J. Kenneth Blackwell,14117,,R,Secretary of State
Ashtabula,Bryan Flannery,12089,,D,Secretary of State
Athens,Bryan Flannery,8360,,D,Secretary of State
Athens,J. Kenneth Blackwell,7204,,R,Secretary of State
Auglaize,J. Kenneth Blackwell,9249,,R,Secretary of State
Auglaize,Bryan Flannery,3749,,D,Secretary of State
Belmont,Bryan Flannery,11695,,D,Secretary of State
Belmont,J. Kenneth Blackwell,8107,,R,Secretary of State
Brown,J. Kenneth Blackwell,7291,,R,Secretary of State
Brown,Bryan Flannery,3998,,D,Secretary of State
Butler,J. Kenneth Blackwell,59962,,R,Secretary of State
Butler,Bryan Flannery,25184,,D,Secretary of State
Carroll,J. Kenneth Blackwell,4967,,R,Secretary of State
Carroll,Bryan Flannery,3454,,D,Secretary of State
Champaign,J. Kenneth Blackwell,7010,,R,Secretary of State
Champaign,Bryan Flannery,3290,,D,Secretary of State
Clark,J. Kenneth Blackwell,22496,,R,Secretary of State
Clark,Bryan Flannery,15070,,D,Secretary of State
Clermont,J. Kenneth Blackwell,30990,,R,Secretary of State
Clermont,Bryan Flannery,11340,,D,Secretary of State
Clinton,J. Kenneth Blackwell,7381,,R,Secretary of State
Clinton,Bryan Flannery,2749,,D,Secretary of State
Columbiana,J. Kenneth Blackwell,16873,,R,Secretary of State
Columbiana,Bryan Flannery,12757,,D,Secretary of State
Coshocton,J. Kenneth Blackwell,6251,,R,Secretary of State
Coshocton,Bryan Flannery,3673,,D,Secretary of State
Crawford,J. Kenneth Blackwell,8585,,R,Secretary of State
Crawford,Bryan Flannery,4257,,D,Secretary of State
Cuyahoga,Bryan Flannery,200085,,D,Secretary of State
Cuyahoga,J. Kenneth Blackwell,152761,,R,Secretary of State
Darke,J. Kenneth Blackwell,11671,,R,Secretary of State
Darke,Bryan Flannery,5094,,D,Secretary of State
Defiance,J. Kenneth Blackwell,6379,,R,Secretary of State
Defiance,Bryan Flannery,4185,,D,Secretary of State
Delaware,J. Kenneth Blackwell,28506,,R,Secretary of State
Delaware,Bryan Flannery,9492,,D,Secretary of State
Erie,J. Kenneth Blackwell,12566,,R,Secretary of State
Erie,Bryan Flannery,11264,,D,Secretary of State
Fairfield,J. Kenneth Blackwell,26369,,R,Secretary of State
Fairfield,Bryan Flannery,11251,,D,Secretary of State
Fayette,J. Kenneth Blackwell,4588,,R,Secretary of State
Fayette,Bryan Flannery,1774,,D,Secretary of State
Franklin,J. Kenneth Blackwell,161968,,R,Secretary of State
Franklin,Bryan Flannery,103438,,D,Secretary of State
Fulton,J. Kenneth Blackwell,8654,,R,Secretary of State
Fulton,Bryan Flannery,3816,,D,Secretary of State
Gallia,J. Kenneth Blackwell,5572,,R,Secretary of State
Gallia,Bryan Flannery,3265,,D,Secretary of State
Geauga,J. Kenneth Blackwell,19847,,R,Secretary of State
Geauga,Bryan Flannery,10154,,D,Secretary of State
Greene,J. Kenneth Blackwell,29028,,R,Secretary of State
Greene,Bryan Flannery,12690,,D,Secretary of State
Guernsey,J. Kenneth Blackwell,6196,,R,Secretary of State
Guernsey,Bryan Flannery,4198,,D,Secretary of State
Hamilton,J. Kenneth Blackwell,165762,,R,Secretary of State
Hamilton,Bryan Flannery,77504,,D,Secretary of State
Hancock,J. Kenneth Blackwell,15053,,R,Secretary of State
Hancock,Bryan Flannery,4799,,D,Secretary of State
Hardin,J. Kenneth Blackwell,5147,,R,Secretary of State
Hardin,Bryan Flannery,2923,,D,Secretary of State
Harrison,Bryan Flannery,2887,,D,Secretary of State
Harrison,J. Kenneth Blackwell,2617,,R,Secretary of State
Henry,J. Kenneth Blackwell,6225,,R,Secretary of State
Henry,Bryan Flannery,2621,,D,Secretary of State
Highland,J. Kenneth Blackwell,7309,,R,Secretary of State
Highland,Bryan Flannery,3505,,D,Secretary of State
Hocking,J. Kenneth Blackwell,4150,,R,Secretary of State
Hocking,Bryan Flannery,3215,,D,Secretary of State
Holmes,J. Kenneth Blackwell,4407,,R,Secretary of State
Holmes,Bryan Flannery,1425,,D,Secretary of State
Huron,J. Kenneth Blackwell,9263,,R,Secretary of State
Huron,Bryan Flannery,5203,,D,Secretary of State
Jackson,J. Kenneth Blackwell,5308,,R,Secretary of State
Jackson,Bryan Flannery,3191,,D,Secretary of State
Jefferson,Bryan Flannery,12655,,D,Secretary of State
Jefferson,J. Kenneth Blackwell,9474,,R,Secretary of State
Knox,J. Kenneth Blackwell,9547,,R,Secretary of State
Knox,Bryan Flannery,4019,,D,Secretary of State
Lake,J. Kenneth Blackwell,35056,,R,Secretary of State
Lake,Bryan Flannery,24391,,D,Secretary of State
Lawrence,J. Kenneth Blackwell,8354,,R,Secretary of State
Lawrence,Bryan Flannery,6547,,D,Secretary of State
Licking,J. Kenneth Blackwell,30942,,R,Secretary of State
Licking,Bryan Flannery,14630,,D,Secretary of State
Logan,J. Kenneth Blackwell,8838,,R,Secretary of State
Logan,Bryan Flannery,3362,,D,Secretary of State
Lorain,J. Kenneth Blackwell,37111,,R,Secretary of State
Lorain,Bryan Flannery,36772,,D,Secretary of State
Lucas,J. Kenneth Blackwell,60404,,R,Secretary of State
Lucas,Bryan Flannery,54632,,D,Secretary of State
Madison,J. Kenneth Blackwell,7226,,R,Secretary of State
Madison,Bryan Flannery,2937,,D,Secretary of State
Mahoning,Bryan Flannery,41992,,D,Secretary of State
Mahoning,J. Kenneth Blackwell,38232,,R,Secretary of State
Marion,J. Kenneth Blackwell,10869,,R,Secretary of State
Marion,Bryan Flannery,6118,,D,Secretary of State
Medina,J. Kenneth Blackwell,27845,,R,Secretary of State
Medina,Bryan Flannery,16395,,D,Secretary of State
Meigs,J. Kenneth Blackwell,4094,,R,Secretary of State
Meigs,Bryan Flannery,2387,,D,Secretary of State
Mercer,J. Kenneth Blackwell,9559,,R,Secretary of State
Mercer,Bryan Flannery,4394,,D,Secretary of State
Miami,J. Kenneth Blackwell,20163,,R,Secretary of State
Miami,Bryan Flannery,8700,,D,Secretary of State
Monroe,Bryan Flannery,2952,,D,Secretary of State
Monroe,J. Kenneth Blackwell,1826,,R,Secretary of State
Montgomery,J. Kenneth Blackwell,95037,,R,Secretary of State
Montgomery,Bryan Flannery,60451,,D,Secretary of State
Morgan,J. Kenneth Blackwell,2935,,R,Secretary of State
Morgan,Bryan Flannery,1477,,D,Secretary of State
Morrow,J. Kenneth Blackwell,6245,,R,Secretary of State
Morrow,Bryan Flannery,3062,,D,Secretary of State
Muskingum,J. Kenneth Blackwell,14297,,R,Secretary of State
Muskingum,Bryan Flannery,7375,,D,Secretary of State
Noble,J. Kenneth Blackwell,2419,,R,Secretary of State
Noble,Bryan Flannery,1667,,D,Secretary of State
Ottawa,J. Kenneth Blackwell,8284,,R,Secretary of State
Ottawa,Bryan Flannery,6070,,D,Secretary of State
Paulding,J. Kenneth Blackwell,3485,,R,Secretary of State
Paulding,Bryan Flannery,2525,,D,Secretary of State
Perry,J. Kenneth Blackwell,5005,,R,Secretary of State
Perry,Bryan Flannery,3755,,D,Secretary of State
Pickaway,J. Kenneth Blackwell,7552,,R,Secretary of State
Pickaway,Bryan Flannery,3629,,D,Secretary of State
Pike,Bryan Flannery,3908,,D,Secretary of State
Pike,J. Kenneth Blackwell,3603,,R,Secretary of State
Portage,J. Kenneth Blackwell,20719,,R,Secretary of State
Portage,Bryan Flannery,18835,,D,Secretary of State
Preble,J. Kenneth Blackwell,7586,,R,Secretary of State
Preble,Bryan Flannery,3588,,D,Secretary of State
Putnam,J. Kenneth Blackwell,8112,,R,Secretary of State
Putnam,Bryan Flannery,3621,,D,Secretary of State
Richland,J. Kenneth Blackwell,21962,,R,Secretary of State
Richland,Bryan Flannery,14010,,D,Secretary of State
Ross,J. Kenneth Blackwell,10217,,R,Secretary of State
Ross,Bryan Flannery,6858,,D,Secretary of State
Sandusky,J. Kenneth Blackwell,11320,,R,Secretary of State
Sandusky,Bryan Flannery,6941,,D,Secretary of State
Scioto,J. Kenneth Blackwell,10964,,R,Secretary of State
Scioto,Bryan Flannery,10358,,D,Secretary of State
Seneca,J. Kenneth Blackwell,10436,,R,Secretary of State
Seneca,Bryan Flannery,5578,,D,Secretary of State
Shelby,J. Kenneth Blackwell,9240,,R,Secretary of State
Shelby,Bryan Flannery,4697,,D,Secretary of State
Stark,J. Kenneth Blackwell,61743,,R,Secretary of State
Stark,Bryan Flannery,47613,,D,Secretary of State
Summit,J. Kenneth Blackwell,79863,,R,Secretary of State
Summit,Bryan Flannery,71550,,D,Secretary of State
Trumbull,Bryan Flannery,36185,,D,Secretary of State
Trumbull,J. Kenneth Blackwell,31787,,R,Secretary of State
Tuscarawas,J. Kenneth Blackwell,13523,,R,Secretary of State
Tuscarawas,Bryan Flannery,10492,,D,Secretary of State
Union,J. Kenneth Blackwell,8941,,R,Secretary of State
Union,Bryan Flannery,2929,,D,Secretary of State
Van Wert,J. Kenneth Blackwell,6207,,R,Secretary of State
Van Wert,Bryan Flannery,2560,,D,Secretary of State
Vinton,J. Kenneth Blackwell,1996,,R,Secretary of State
Vinton,Bryan Flannery,1574,,D,Secretary of State
Warren,J. Kenneth Blackwell,36254,,R,Secretary of State
Warren,Bryan Flannery,12020,,D,Secretary of State
Washington,J. Kenneth Blackwell,10315,,R,Secretary of State
Washington,Bryan Flannery,6914,,D,Secretary of State
Wayne,J. Kenneth Blackwell,20127,,R,Secretary of State
Wayne,Bryan Flannery,9069,,D,Secretary of State
Williams,J. Kenneth Blackwell,7242,,R,Secretary of State
Williams,Bryan Flannery,3521,,D,Secretary of State
Wood,J. Kenneth Blackwell,22555,,R,Secretary of State
Wood,Bryan Flannery,13406,,D,Secretary of State
Wyandot,J. Kenneth Blackwell,4345,,R,Secretary of State
Wyandot,Bryan Flannery,1756,,D,Secretary of State
Adams,Tom Niehaus,3029,88.0,R,State Representative
Adams,Harold Sayre,1599,89.0,R,State Representative
Adams,Todd Book,1028,89.0,D,State Representative
Ashland,Bob Gibbs,6375,97.0,R,State Representative
Ashland,Thomas Mason,4728,97.0,D,State Representative
Ashland,Thom Collier,2405,90.0,R,State Representative
Ashland,Howard Hoffman,1213,90.0,D,State Representative
Ashtabula,L. George Distel,17918,99.0,D,State Representative
Ashtabula,Robert Rennie,8909,99.0,R,State Representative
Ashtabula,Donald Rogers,1,99.0,WI,State Representative
Athens,James Pancake,8182,92.0,D,State Representative
Athens,Jimmy Stewart,8060,92.0,R,State Representative
Auglaize,Derrick Seaver,5818,78.0,D,State Representative
Auglaize,John Adams,3500,78.0,R,State Representative
Auglaize,Mike Gilb,2963,76.0,R,State Representative
Auglaize,Kenneth Ludwig,1218,76.0,D,State Representative
Belmont,John Domenick,8109,95.0,D,State Representative
Belmont,Charlie Wilson,6309,96.0,D,State Representative
Belmont,Frank Sentich Jr.,3960,95.0,R,State Representative
Belmont,Greg Erb,2522,96.0,R,State Representative
Brown,Tom Niehaus,9004,88.0,R,State Representative
Carroll,John Boccieri,4827,61.0,D,State Representative
Carroll,Randy Pope,3880,61.0,R,State Representative
Champaign,Derrick Seaver,5375,78.0,D,State Representative
Champaign,John Adams,5250,78.0,R,State Representative
Clark,Chris Widener,6845,84.0,R,State Representative
Clark,Natalie Tackett,5286,84.0,D,State Representative
Clermont,Jean Schmidt,23606,66.0,R,State Representative
Clermont,Tom Niehaus,10697,88.0,R,State Representative
Clinton,David Daniels,6983,86.0,R,State Representative
Clinton,Bill Horne,2645,86.0,,State Representative
Coshocton,Jim Aslanides,8450,94.0,R,State Representative
Crawford,Steve Reinhard,9409,82.0,R,State Representative
Crawford,Steven Chaffin,3732,82.0,D,State Representative
Cuyahoga,Timothy Grendell,4056,98.0,R,State Representative
Cuyahoga,Meg Cacciacarro,2876,98.0,D,State Representative
Darke,Keith Faber,9145,77.0,R,State Representative
Darke,Diana Fessler,3847,79.0,R,State Representative
Darke,Benjamin Amstutz,2829,77.0,D,State Representative
Darke,Carol McKeever,1488,79.0,D,State Representative
Defiance,Stephen Buehrer,8002,74.0,R,State Representative
Defiance,James Hoops,297,75.0,R,State Representative
Erie,Chris Redfern,13760,80.0,D,State Representative
Erie,J. Tom Lendrum,11025,80.0,R,State Representative
Fayette,John Schlichter,4640,85.0,R,State Representative
Fayette,Joseph Sulzer,1934,85.0,D,State Representative
Fulton,Stephen Buehrer,10492,74.0,R,State Representative
Gallia,Clyde Evans,5121,87.0,R,State Representative
Gallia,Fred Deel,4400,87.0,D,State Representative
Geauga,Timothy Grendell,22307,98.0,R,State Representative
Geauga,Meg Cacciacarro,8596,98.0,D,State Representative
Greene,Chris Widener,7784,84.0,R,State Representative
Greene,Natalie Tackett,4479,84.0,D,State Representative
Guernsey,Nancy Hollister,6259,93.0,R,State Representative
Guernsey,William Moore,4340,93.0,D,State Representative
Hamilton,Tom Brinkman Jr.,23748,34.0,R,State Representative
Hamilton,Tyrone Yates,18532,33.0,D,State Representative
Hamilton,Michelle Schneider,17996,35.0,R,State Representative
Hamilton,Dave Schaff,13896,34.0,D,State Representative
Hamilton,Sandra Hall,9118,33.0,R,State Representative
Hancock,Mike Gilb,14944,76.0,R,State Representative
Hancock,Kenneth Ludwig,5244,76.0,D,State Representative
Hardin,Mike Gilb,4534,76.0,R,State Representative
Hardin,Kenneth Ludwig,3662,76.0,D,State Representative
Harrison,Charlie Wilson,3643,96.0,D,State Representative
Harrison,Greg Erb,2036,96.0,R,State Representative
Henry,James Hoops,8056,75.0,R,State Representative
Highland,David Daniels,7202,86.0,R,State Representative
Highland,Bill Horne,3586,86.0,,State Representative
Hocking,Larry Householder,4713,91.0,R,State Representative
Hocking,Brad Gothard,2765,91.0,D,State Representative
Holmes,Bob Gibbs,4697,97.0,R,State Representative
Holmes,Thomas Mason,1468,97.0,D,State Representative
Huron,Kathleen Walcher,9201,58.0,R,State Representative
Huron,Kenneth Bailey,5992,58.0,D,State Representative
Jackson,Clyde Evans,5088,87.0,R,State Representative
Jackson,Fred Deel,3850,87.0,D,State Representative
Jefferson,John Domenick,13245,95.0,D,State Representative
Jefferson,Frank Sentich Jr.,10212,95.0,R,State Representative
Knox,Thom Collier,10037,90.0,R,State Representative
Knox,Howard Hoffman,3690,90.0,D,State Representative
Lawrence,Clyde Evans,4412,87.0,R,State Representative
Lawrence,Todd Book,4157,89.0,D,State Representative
Lawrence,Harold Sayre,3790,89.0,R,State Representative
Lawrence,Fred Deel,3017,87.0,D,State Representative
Licking,Larry Householder,7949,91.0,R,State Representative
Licking,Brad Gothard,3150,91.0,D,State Representative
Logan,Anthony Core,9154,83.0,R,State Representative
Logan,Stacy Roberts,3425,83.0,D,State Representative
Lorain,Kathleen Walcher,7469,58.0,R,State Representative
Lorain,Kenneth Bailey,6157,58.0,D,State Representative
Madison,Chris Widener,7101,84.0,R,State Representative
Madison,Natalie Tackett,3209,84.0,D,State Representative
Mahoning,John Boccieri,6242,61.0,D,State Representative
Mahoning,Randy Pope,3620,61.0,R,State Representative
Marion,Steve Reinhard,5836,82.0,R,State Representative
Marion,Steven Chaffin,4395,82.0,D,State Representative
Marion,Anthony Core,4373,83.0,R,State Representative
Marion,Stacy Roberts,2561,83.0,D,State Representative
Medina,Bob Gibbs,7110,97.0,R,State Representative
Medina,Thomas Mason,4743,97.0,D,State Representative
Meigs,Jimmy Stewart,4750,92.0,R,State Representative
Meigs,James Pancake,2259,92.0,D,State Representative
Mercer,Keith Faber,11742,77.0,R,State Representative
Mercer,Benjamin Amstutz,3172,77.0,D,State Representative
Miami,Diana Fessler,19946,79.0,R,State Representative
Miami,Carol McKeever,9317,79.0,D,State Representative
Monroe,William Moore,3075,93.0,D,State Representative
Monroe,Nancy Hollister,2054,93.0,R,State Representative
Morgan,Jimmy Stewart,2958,92.0,R,State Representative
Morgan,James Pancake,1739,92.0,D,State Representative
Morrow,Thom Collier,5432,90.0,R,State Representative
Morrow,Howard Hoffman,3456,90.0,D,State Representative
Muskingum,Jim Aslanides,15506,94.0,R,State Representative
Muskingum,Nancy Hollister,902,93.0,R,State Representative
Muskingum,William Moore,362,93.0,D,State Representative
Noble,Nancy Hollister,2611,93.0,R,State Representative
Noble,William Moore,1641,93.0,D,State Representative
Ottawa,Chris Redfern,6875,80.0,D,State Representative
Ottawa,J. Tom Lendrum,4837,80.0,R,State Representative
Ottawa,Jeff Wagner,1764,81.0,R,State Representative
Ottawa,James Melle,1394,81.0,D,State Representative
Paulding,James Hoops,4530,75.0,R,State Representative
Perry,Larry Householder,5671,91.0,R,State Representative
Perry,Brad Gothard,3482,91.0,D,State Representative
Pickaway,Larry Householder,4147,91.0,R,State Representative
Pickaway,John Schlichter,3322,85.0,R,State Representative
Pickaway,Joseph Sulzer,2124,85.0,D,State Representative
Pickaway,Brad Gothard,1842,91.0,D,State Representative
Pike,David Daniels,3594,86.0,R,State Representative
Pike,Bill Horne,3402,86.0,,State Representative
Portage,Mary Taylor,5735,43.0,R,State Representative
Portage,Michael Grimm,4738,43.0,D,State Representative
Preble,Keith Faber,7466,77.0,R,State Representative
Preble,Benjamin Amstutz,3482,77.0,D,State Representative
Putnam,James Hoops,10192,75.0,R,State Representative
Richland,Thom Collier,3617,90.0,R,State Representative
Richland,Howard Hoffman,2275,90.0,D,State Representative
Ross,Joseph Sulzer,8672,85.0,D,State Representative
Ross,John Schlichter,7032,85.0,R,State Representative
Ross,Clyde Evans,1375,87.0,R,State Representative
Ross,Fred Deel,1273,87.0,D,State Representative
Sandusky,Jeff Wagner,10071,81.0,R,State Representative
Sandusky,James Melle,8748,81.0,D,State Representative
Scioto,Todd Book,14152,89.0,D,State Representative
Scioto,Harold Sayre,8167,89.0,R,State Representative
Seneca,Jeff Wagner,7521,81.0,R,State Representative
Seneca,James Melle,6301,81.0,D,State Representative
Seneca,Kathleen Walcher,1695,58.0,R,State Representative
Seneca,Kenneth Bailey,1129,58.0,D,State Representative
Shelby,Derrick Seaver,9241,78.0,D,State Representative
Shelby,John Adams,5880,78.0,R,State Representative
Stark,John Boccieri,6039,61.0,D,State Representative
Stark,Randy Pope,4270,61.0,R,State Representative
Summit,Mary Taylor,15278,43.0,R,State Representative
Summit,Michael Grimm,13442,43.0,D,State Representative
Trumbull,L. George Distel,841,99.0,D,State Representative
Trumbull,Robert Rennie,836,99.0,R,State Representative
Trumbull,Donald Rogers,11,99.0,WI,State Representative
Tuscarawas,Charlie Wilson,11888,96.0,D,State Representative
Tuscarawas,Greg Erb,8839,96.0,R,State Representative
Tuscarawas,John Boccieri,2996,61.0,D,State Representative
Tuscarawas,Randy Pope,1183,61.0,R,State Representative
