county,candidate,party,office,district,votes,pct
Allen,Mike Dewine,R,U.S. Senate,,27926,63.17%
Allen,Ted Celeste,D,U.S. Senate,,11134,25.19%
Allen,John Mcalister,L,U.S. Senate,,877,1.98%
Allen,John Eastman,N,U.S. Senate,,619,1.40%
Allen,Michael Fitzsimmons,,U.S. Senate,,2,0.00%
Allen,Patrick Flower,,U.S. Senate,,1,0.00%
Ashland,Mike Dewine,R,U.S. Senate,,14992,69.62%
Ashland,Ted Celeste,D,U.S. Senate,,4708,21.86%
Ashland,John Mcalister,L,U.S. Senate,,601,2.79%
Ashland,John Eastman,N,U.S. Senate,,263,1.22%
Ashland,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Ashland,Patrick Flower,,U.S. Senate,,0,0.00%
Ashtabula,Mike Dewine,R,U.S. Senate,,21628,53.56%
Ashtabula,Ted Celeste,D,U.S. Senate,,14764,36.56%
Ashtabula,John Mcalister,L,U.S. Senate,,1165,2.89%
Ashtabula,John Eastman,N,U.S. Senate,,607,1.50%
Ashtabula,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Ashtabula,Patrick Flower,,U.S. Senate,,0,0.00%
Athens,Mike Dewine,R,U.S. Senate,,11466,44.29%
Athens,Ted Celeste,D,U.S. Senate,,11069,42.76%
Athens,John Mcalister,L,U.S. Senate,,1190,4.60%
Athens,John Eastman,N,U.S. Senate,,442,1.71%
Athens,Patrick Flower,,U.S. Senate,,1,0.00%
Athens,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Auglaize,Mike Dewine,R,U.S. Senate,,14578,72.13%
Auglaize,Ted Celeste,D,U.S. Senate,,4194,20.75%
Auglaize,John Mcalister,L,U.S. Senate,,424,2.10%
Auglaize,John Eastman,N,U.S. Senate,,289,1.43%
Auglaize,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Auglaize,Patrick Flower,,U.S. Senate,,0,0.00%
Belmont,Ted Celeste,D,U.S. Senate,,14176,45.67%
Belmont,Mike Dewine,R,U.S. Senate,,13467,43.39%
Belmont,John Mcalister,L,U.S. Senate,,726,2.34%
Belmont,John Eastman,N,U.S. Senate,,429,1.38%
Belmont,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Belmont,Patrick Flower,,U.S. Senate,,0,0.00%
Brown,Mike Dewine,R,U.S. Senate,,10467,62.07%
Brown,Ted Celeste,D,U.S. Senate,,4755,28.20%
Brown,John Mcalister,L,U.S. Senate,,382,2.27%
Brown,John Eastman,N,U.S. Senate,,260,1.54%
Brown,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Brown,Patrick Flower,,U.S. Senate,,0,0.00%
Butler,Mike Dewine,R,U.S. Senate,,91886,66.11%
Butler,Ted Celeste,D,U.S. Senate,,34748,25.00%
Butler,John Mcalister,L,U.S. Senate,,3465,2.49%
Butler,John Eastman,N,U.S. Senate,,1862,1.34%
Butler,Patrick Flower,,U.S. Senate,,2,0.00%
Butler,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Carroll,Mike Dewine,R,U.S. Senate,,7525,59.84%
Carroll,Ted Celeste,D,U.S. Senate,,3833,30.48%
Carroll,John Mcalister,L,U.S. Senate,,328,2.61%
Carroll,John Eastman,N,U.S. Senate,,231,1.84%
Carroll,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Carroll,Patrick Flower,,U.S. Senate,,0,0.00%
Champaign,Mike Dewine,R,U.S. Senate,,8497,52.99%
Champaign,Ted Celeste,D,U.S. Senate,,5299,33.05%
Champaign,John Mcalister,L,U.S. Senate,,861,5.37%
Champaign,John Eastman,N,U.S. Senate,,548,3.42%
Champaign,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Champaign,Patrick Flower,,U.S. Senate,,0,0.00%
Clark,Mike Dewine,R,U.S. Senate,,34297,58.25%
Clark,Ted Celeste,D,U.S. Senate,,19508,33.13%
Clark,John Mcalister,L,U.S. Senate,,1556,2.64%
Clark,John Eastman,N,U.S. Senate,,1208,2.05%
Clark,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Clark,Patrick Flower,,U.S. Senate,,0,0.00%
Clermont,Mike Dewine,R,U.S. Senate,,49325,69.24%
Clermont,Ted Celeste,D,U.S. Senate,,16167,22.69%
Clermont,John Mcalister,L,U.S. Senate,,1952,2.74%
Clermont,John Eastman,N,U.S. Senate,,1060,1.49%
Clermont,Michael Fitzsimmons,,U.S. Senate,,3,0.00%
Clermont,Patrick Flower,,U.S. Senate,,1,0.00%
Clinton,Mike Dewine,R,U.S. Senate,,10688,69.56%
Clinton,Ted Celeste,D,U.S. Senate,,3293,21.43%
Clinton,John Mcalister,L,U.S. Senate,,449,2.92%
Clinton,John Eastman,N,U.S. Senate,,236,1.54%
Clinton,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Clinton,Patrick Flower,,U.S. Senate,,0,0.00%
Columbiana,Mike Dewine,R,U.S. Senate,,24145,53.31%
Columbiana,Ted Celeste,D,U.S. Senate,,17111,37.78%
Columbiana,John Mcalister,L,U.S. Senate,,1151,2.54%
Columbiana,John Eastman,N,U.S. Senate,,953,2.10%
Columbiana,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Columbiana,Patrick Flower,,U.S. Senate,,0,0.00%
Coshocton,Mike Dewine,R,U.S. Senate,,8910,61.48%
Coshocton,Ted Celeste,D,U.S. Senate,,4375,30.19%
Coshocton,John Mcalister,L,U.S. Senate,,327,2.26%
Coshocton,John Eastman,N,U.S. Senate,,178,1.23%
Coshocton,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Coshocton,Patrick Flower,,U.S. Senate,,0,0.00%
Crawford,Mike Dewine,R,U.S. Senate,,12845,65.46%
Crawford,Ted Celeste,D,U.S. Senate,,5221,26.61%
Crawford,John Mcalister,L,U.S. Senate,,503,2.56%
Crawford,John Eastman,N,U.S. Senate,,376,1.92%
Crawford,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Crawford,Patrick Flower,,U.S. Senate,,0,0.00%
Cuyahoga,Mike Dewine,R,U.S. Senate,,242554,41.33%
Cuyahoga,Ted Celeste,D,U.S. Senate,,236477,40.29%
Cuyahoga,John Mcalister,L,U.S. Senate,,10203,1.74%
Cuyahoga,John Eastman,N,U.S. Senate,,6301,1.07%
Cuyahoga,Michael Fitzsimmons,,U.S. Senate,,9,0.00%
Cuyahoga,Patrick Flower,,U.S. Senate,,0,0.00%
Darke,Mike Dewine,R,U.S. Senate,,16905,71.08%
Darke,Ted Celeste,D,U.S. Senate,,4999,21.02%
Darke,John Mcalister,L,U.S. Senate,,489,2.06%
Darke,John Eastman,N,U.S. Senate,,366,1.54%
Darke,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Darke,Patrick Flower,,U.S. Senate,,0,0.00%
Defiance,Mike Dewine,R,U.S. Senate,,10133,61.01%
Defiance,Ted Celeste,D,U.S. Senate,,5070,30.52%
Defiance,John Mcalister,L,U.S. Senate,,339,2.04%
Defiance,John Eastman,N,U.S. Senate,,255,1.54%
Defiance,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Defiance,Patrick Flower,,U.S. Senate,,0,0.00%
Delaware,Mike Dewine,R,U.S. Senate,,38290,68.43%
Delaware,Ted Celeste,D,U.S. Senate,,12794,22.86%
Delaware,John Mcalister,L,U.S. Senate,,1785,3.19%
Delaware,John Eastman,N,U.S. Senate,,733,1.31%
Delaware,Patrick Flower,,U.S. Senate,,1,0.00%
Delaware,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Erie,Mike Dewine,R,U.S. Senate,,18987,52.98%
Erie,Ted Celeste,D,U.S. Senate,,13878,38.73%
Erie,John Mcalister,L,U.S. Senate,,635,1.77%
Erie,John Eastman,N,U.S. Senate,,491,1.37%
Erie,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Erie,Patrick Flower,,U.S. Senate,,0,0.00%
Fairfield,Mike Dewine,R,U.S. Senate,,36304,66.11%
Fairfield,Ted Celeste,D,U.S. Senate,,13971,25.44%
Fairfield,John Mcalister,L,U.S. Senate,,1585,2.89%
Fairfield,John Eastman,N,U.S. Senate,,744,1.35%
Fairfield,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Fairfield,Patrick Flower,,U.S. Senate,,0,0.00%
Fayette,Mike Dewine,R,U.S. Senate,,6468,68.20%
Fayette,Ted Celeste,D,U.S. Senate,,2267,23.90%
Fayette,John Mcalister,L,U.S. Senate,,247,2.60%
Fayette,John Eastman,N,U.S. Senate,,117,1.23%
Fayette,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Fayette,Patrick Flower,,U.S. Senate,,0,0.00%
Franklin,Mike Dewine,R,U.S. Senate,,218164,52.22%
Franklin,Ted Celeste,D,U.S. Senate,,155855,37.30%
Franklin,John Mcalister,L,U.S. Senate,,12661,3.03%
Franklin,John Eastman,N,U.S. Senate,,6046,1.45%
Franklin,Michael Fitzsimmons,,U.S. Senate,,11,0.00%
Franklin,Patrick Flower,,U.S. Senate,,4,0.00%
Fulton,Mike Dewine,R,U.S. Senate,,13007,67.88%
Fulton,Ted Celeste,D,U.S. Senate,,4799,25.05%
Fulton,John Mcalister,L,U.S. Senate,,357,1.86%
Fulton,John Eastman,N,U.S. Senate,,245,1.28%
Fulton,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Fulton,Patrick Flower,,U.S. Senate,,0,0.00%
Gallia,Mike Dewine,R,U.S. Senate,,7580,57.41%
Gallia,Ted Celeste,D,U.S. Senate,,4049,30.67%
Gallia,John Mcalister,L,U.S. Senate,,355,2.69%
Gallia,John Eastman,N,U.S. Senate,,199,1.51%
Gallia,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Gallia,Patrick Flower,,U.S. Senate,,0,0.00%
Geauga,Mike Dewine,R,U.S. Senate,,29528,68.73%
Geauga,Ted Celeste,D,U.S. Senate,,10007,23.29%
Geauga,John Mcalister,L,U.S. Senate,,930,2.16%
Geauga,John Eastman,N,U.S. Senate,,482,1.12%
Geauga,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Geauga,Patrick Flower,,U.S. Senate,,0,0.00%
Greene,Mike Dewine,R,U.S. Senate,,46293,69.59%
Greene,Ted Celeste,D,U.S. Senate,,14832,22.30%
Greene,John Eastman,N,U.S. Senate,,1566,2.35%
Greene,John Mcalister,L,U.S. Senate,,1443,2.17%
Greene,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Greene,Patrick Flower,,U.S. Senate,,0,0.00%
Guernsey,Mike Dewine,R,U.S. Senate,,9254,58.37%
Guernsey,Ted Celeste,D,U.S. Senate,,5046,31.83%
Guernsey,John Mcalister,L,U.S. Senate,,412,2.60%
Guernsey,John Eastman,N,U.S. Senate,,222,1.40%
Guernsey,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Guernsey,Patrick Flower,,U.S. Senate,,0,0.00%
Hamilton,Mike Dewine,R,U.S. Senate,,223984,58.28%
Hamilton,Ted Celeste,D,U.S. Senate,,130106,33.85%
Hamilton,John Mcalister,L,U.S. Senate,,10065,2.62%
Hamilton,John Eastman,N,U.S. Senate,,5122,1.33%
Hamilton,Patrick Flower,,U.S. Senate,,12,0.00%
Hamilton,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Hancock,Mike Dewine,R,U.S. Senate,,22337,72.15%
Hancock,Ted Celeste,D,U.S. Senate,,6384,20.62%
Hancock,John Mcalister,L,U.S. Senate,,620,2.00%
Hancock,John Eastman,N,U.S. Senate,,328,1.06%
Hancock,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Hancock,Patrick Flower,,U.S. Senate,,0,0.00%
Hardin,Mike Dewine,R,U.S. Senate,,6891,56.67%
Hardin,Ted Celeste,D,U.S. Senate,,3304,27.17%
Hardin,John Eastman,N,U.S. Senate,,557,4.58%
Hardin,John Mcalister,L,U.S. Senate,,555,4.56%
Hardin,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Hardin,Patrick Flower,,U.S. Senate,,0,0.00%
Harrison,Mike Dewine,R,U.S. Senate,,3628,49.16%
Harrison,Ted Celeste,D,U.S. Senate,,2971,40.26%
Harrison,John Mcalister,L,U.S. Senate,,196,2.66%
Harrison,John Eastman,N,U.S. Senate,,118,1.60%
Harrison,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Harrison,Patrick Flower,,U.S. Senate,,0,0.00%
Henry,Mike Dewine,R,U.S. Senate,,9361,69.42%
Henry,Ted Celeste,D,U.S. Senate,,3124,23.17%
Henry,John Mcalister,L,U.S. Senate,,278,2.06%
Henry,John Eastman,N,U.S. Senate,,188,1.39%
Henry,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Henry,Patrick Flower,,U.S. Senate,,0,0.00%
Highland,Mike Dewine,R,U.S. Senate,,10237,64.57%
Highland,Ted Celeste,D,U.S. Senate,,4196,26.47%
Highland,John Mcalister,L,U.S. Senate,,422,2.66%
Highland,John Eastman,N,U.S. Senate,,226,1.43%
Highland,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Highland,Patrick Flower,,U.S. Senate,,0,0.00%
Hocking,Mike Dewine,R,U.S. Senate,,6047,54.80%
Hocking,Ted Celeste,D,U.S. Senate,,3916,35.49%
Hocking,John Mcalister,L,U.S. Senate,,328,2.97%
Hocking,John Eastman,N,U.S. Senate,,193,1.75%
Hocking,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Hocking,Patrick Flower,,U.S. Senate,,0,0.00%
Holmes,Mike Dewine,R,U.S. Senate,,6745,67.88%
Holmes,Ted Celeste,D,U.S. Senate,,1770,17.81%
Holmes,John Mcalister,L,U.S. Senate,,167,1.68%
Holmes,John Eastman,N,U.S. Senate,,140,1.41%
Holmes,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Holmes,Patrick Flower,,U.S. Senate,,0,0.00%
Huron,Mike Dewine,R,U.S. Senate,,13710,62.92%
Huron,Ted Celeste,D,U.S. Senate,,6117,28.08%
Huron,John Mcalister,L,U.S. Senate,,455,2.09%
Huron,John Eastman,N,U.S. Senate,,445,2.04%
Huron,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Huron,Patrick Flower,,U.S. Senate,,0,0.00%
Jackson,Mike Dewine,R,U.S. Senate,,7517,58.19%
Jackson,Ted Celeste,D,U.S. Senate,,3827,29.63%
Jackson,John Mcalister,L,U.S. Senate,,305,2.36%
Jackson,John Eastman,N,U.S. Senate,,214,1.66%
Jackson,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Jackson,Patrick Flower,,U.S. Senate,,0,0.00%
Jefferson,Mike Dewine,R,U.S. Senate,,16316,46.03%
Jefferson,Ted Celeste,D,U.S. Senate,,15222,42.94%
Jefferson,John Mcalister,L,U.S. Senate,,1047,2.95%
Jefferson,John Eastman,N,U.S. Senate,,668,1.88%
Jefferson,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Jefferson,Patrick Flower,,U.S. Senate,,0,0.00%
Knox,Mike Dewine,R,U.S. Senate,,13659,63.57%
Knox,Ted Celeste,D,U.S. Senate,,5699,26.52%
Knox,John Mcalister,L,U.S. Senate,,655,3.05%
Knox,John Eastman,N,U.S. Senate,,378,1.76%
Knox,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Knox,Patrick Flower,,U.S. Senate,,0,0.00%
Lake,Mike Dewine,R,U.S. Senate,,62519,60.49%
Lake,Ted Celeste,D,U.S. Senate,,29568,28.61%
Lake,John Mcalister,L,U.S. Senate,,2078,2.01%
Lake,John Eastman,N,U.S. Senate,,1078,1.04%
Lake,Michael Fitzsimmons,,U.S. Senate,,3,0.00%
Lake,Patrick Flower,,U.S. Senate,,2,0.00%
Lawrence,Mike Dewine,R,U.S. Senate,,13032,51.76%
Lawrence,Ted Celeste,D,U.S. Senate,,9323,37.03%
Lawrence,John Mcalister,L,U.S. Senate,,610,2.42%
Lawrence,John Eastman,N,U.S. Senate,,306,1.22%
Lawrence,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Lawrence,Patrick Flower,,U.S. Senate,,0,0.00%
Licking,Mike Dewine,R,U.S. Senate,,40006,63.01%
Licking,Ted Celeste,D,U.S. Senate,,18373,28.94%
Licking,John Mcalister,L,U.S. Senate,,1895,2.98%
Licking,John Eastman,N,U.S. Senate,,1127,1.78%
Licking,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Licking,Patrick Flower,,U.S. Senate,,0,0.00%
Logan,Mike Dewine,R,U.S. Senate,,12410,65.93%
Logan,Ted Celeste,D,U.S. Senate,,4614,24.51%
Logan,John Mcalister,L,U.S. Senate,,690,3.67%
Logan,John Eastman,N,U.S. Senate,,434,2.31%
Logan,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Logan,Patrick Flower,,U.S. Senate,,0,0.00%
Lorain,Mike Dewine,R,U.S. Senate,,60490,52.84%
Lorain,Ted Celeste,D,U.S. Senate,,44097,38.52%
Lorain,John Mcalister,L,U.S. Senate,,2355,2.06%
Lorain,John Eastman,N,U.S. Senate,,1652,1.44%
Lorain,Michael Fitzsimmons,,U.S. Senate,,11,0.01%
Lorain,Patrick Flower,,U.S. Senate,,0,0.00%
Lucas,Mike Dewine,R,U.S. Senate,,89753,47.63%
Lucas,Ted Celeste,D,U.S. Senate,,74682,39.64%
Lucas,John Mcalister,L,U.S. Senate,,4918,2.61%
Lucas,John Eastman,N,U.S. Senate,,4323,2.29%
Lucas,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Lucas,Patrick Flower,,U.S. Senate,,0,0.00%
Madison,Ted Celeste,D,U.S. Senate,,6070,40.57%
Madison,Mike Dewine,R,U.S. Senate,,5534,36.99%
Madison,John Mcalister,L,U.S. Senate,,1539,10.29%
Madison,John Eastman,N,U.S. Senate,,677,4.53%
Madison,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Madison,Patrick Flower,,U.S. Senate,,0,0.00%
Mahoning,Ted Celeste,D,U.S. Senate,,55064,47.11%
Mahoning,Mike Dewine,R,U.S. Senate,,50568,43.26%
Mahoning,John Mcalister,L,U.S. Senate,,2222,1.90%
Mahoning,John Eastman,N,U.S. Senate,,1675,1.43%
Mahoning,Patrick Flower,,U.S. Senate,,3,0.00%
Mahoning,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Marion,Mike Dewine,R,U.S. Senate,,15554,61.31%
Marion,Ted Celeste,D,U.S. Senate,,7675,30.25%
Marion,John Mcalister,L,U.S. Senate,,670,2.64%
Marion,John Eastman,N,U.S. Senate,,540,2.13%
Marion,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Marion,Patrick Flower,,U.S. Senate,,0,0.00%
Medina,Mike Dewine,R,U.S. Senate,,44629,65.78%
Medina,Ted Celeste,D,U.S. Senate,,17145,25.27%
Medina,John Mcalister,L,U.S. Senate,,1576,2.32%
Medina,John Eastman,N,U.S. Senate,,1010,1.49%
Medina,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Medina,Patrick Flower,,U.S. Senate,,0,0.00%
Meigs,Mike Dewine,R,U.S. Senate,,5881,57.50%
Meigs,Ted Celeste,D,U.S. Senate,,2860,27.96%
Meigs,John Mcalister,L,U.S. Senate,,276,2.70%
Meigs,John Eastman,N,U.S. Senate,,236,2.31%
Meigs,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Meigs,Patrick Flower,,U.S. Senate,,0,0.00%
Mercer,Mike Dewine,R,U.S. Senate,,13239,70.24%
Mercer,Ted Celeste,D,U.S. Senate,,4259,22.60%
Mercer,John Mcalister,L,U.S. Senate,,293,1.55%
Mercer,John Eastman,N,U.S. Senate,,207,1.10%
Mercer,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Mercer,Patrick Flower,,U.S. Senate,,0,0.00%
Miami,Mike Dewine,R,U.S. Senate,,30394,69.78%
Miami,Ted Celeste,D,U.S. Senate,,9494,21.80%
Miami,John Mcalister,L,U.S. Senate,,1297,2.98%
Miami,John Eastman,N,U.S. Senate,,600,1.38%
Miami,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Miami,Patrick Flower,,U.S. Senate,,0,0.00%
Monroe,Ted Celeste,D,U.S. Senate,,3241,43.93%
Monroe,Mike Dewine,R,U.S. Senate,,3217,43.61%
Monroe,John Mcalister,L,U.S. Senate,,164,2.22%
Monroe,John Eastman,N,U.S. Senate,,99,1.34%
Monroe,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Monroe,Patrick Flower,,U.S. Senate,,0,0.00%
Montgomery,Mike Dewine,R,U.S. Senate,,126983,53.45%
Montgomery,Ted Celeste,D,U.S. Senate,,69676,29.33%
Montgomery,John Mcalister,L,U.S. Senate,,4612,1.94%
Montgomery,John Eastman,N,U.S. Senate,,2865,1.21%
Montgomery,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Montgomery,Patrick Flower,,U.S. Senate,,0,0.00%
Morgan,Mike Dewine,R,U.S. Senate,,3786,61.48%
Morgan,Ted Celeste,D,U.S. Senate,,1730,28.09%
Morgan,John Mcalister,L,U.S. Senate,,181,2.94%
Morgan,John Eastman,N,U.S. Senate,,90,1.46%
Morgan,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Morgan,Patrick Flower,,U.S. Senate,,0,0.00%
Morrow,Mike Dewine,R,U.S. Senate,,8065,61.35%
Morrow,Ted Celeste,D,U.S. Senate,,3646,27.74%
Morrow,John Mcalister,L,U.S. Senate,,533,4.05%
Morrow,John Eastman,N,U.S. Senate,,266,2.02%
Morrow,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Morrow,Patrick Flower,,U.S. Senate,,0,0.00%
Muskingum,Mike Dewine,R,U.S. Senate,,19930,59.46%
Muskingum,Ted Celeste,D,U.S. Senate,,10441,31.15%
Muskingum,John Mcalister,L,U.S. Senate,,898,2.68%
Muskingum,John Eastman,N,U.S. Senate,,467,1.39%
Muskingum,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Muskingum,Patrick Flower,,U.S. Senate,,0,0.00%
Noble,Mike Dewine,R,U.S. Senate,,3604,58.04%
Noble,Ted Celeste,D,U.S. Senate,,1857,29.90%
Noble,John Mcalister,L,U.S. Senate,,154,2.48%
Noble,John Eastman,N,U.S. Senate,,89,1.43%
Noble,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Noble,Patrick Flower,,U.S. Senate,,0,0.00%
Ottawa,Mike Dewine,R,U.S. Senate,,11641,57.67%
Ottawa,Ted Celeste,D,U.S. Senate,,7336,36.34%
Ottawa,John Mcalister,L,U.S. Senate,,381,1.89%
Ottawa,John Eastman,N,U.S. Senate,,219,1.08%
Ottawa,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Ottawa,Patrick Flower,,U.S. Senate,,0,0.00%
Paulding,Mike Dewine,R,U.S. Senate,,5175,56.16%
Paulding,Ted Celeste,D,U.S. Senate,,2973,32.27%
Paulding,John Mcalister,L,U.S. Senate,,288,3.13%
Paulding,John Eastman,N,U.S. Senate,,196,2.13%
Paulding,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Paulding,Patrick Flower,,U.S. Senate,,0,0.00%
Perry,Mike Dewine,R,U.S. Senate,,7177,54.59%
Perry,Ted Celeste,D,U.S. Senate,,4676,35.57%
Perry,John Mcalister,L,U.S. Senate,,325,2.47%
Perry,John Eastman,N,U.S. Senate,,263,2.00%
Perry,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Perry,Patrick Flower,,U.S. Senate,,0,0.00%
Pickaway,Mike Dewine,R,U.S. Senate,,11694,65.29%
Pickaway,Ted Celeste,D,U.S. Senate,,4589,25.62%
Pickaway,John Mcalister,L,U.S. Senate,,507,2.83%
Pickaway,John Eastman,N,U.S. Senate,,250,1.40%
Pickaway,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Pickaway,Patrick Flower,,U.S. Senate,,0,0.00%
Pike,Mike Dewine,R,U.S. Senate,,5353,48.29%
Pike,Ted Celeste,D,U.S. Senate,,4513,40.72%
Pike,John Mcalister,L,U.S. Senate,,241,2.17%
Pike,John Eastman,N,U.S. Senate,,131,1.18%
Pike,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Pike,Patrick Flower,,U.S. Senate,,0,0.00%
Portage,Mike Dewine,R,U.S. Senate,,34078,53.23%
Portage,Ted Celeste,D,U.S. Senate,,23218,36.26%
Portage,John Mcalister,L,U.S. Senate,,1937,3.03%
Portage,John Eastman,N,U.S. Senate,,1369,2.14%
Portage,Patrick Flower,,U.S. Senate,,1,0.00%
Portage,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Preble,Mike Dewine,R,U.S. Senate,,12378,66.89%
Preble,Ted Celeste,D,U.S. Senate,,4424,23.91%
Preble,John Mcalister,L,U.S. Senate,,589,3.18%
Preble,John Eastman,N,U.S. Senate,,291,1.57%
Preble,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Preble,Patrick Flower,,U.S. Senate,,0,0.00%
Putnam,Mike Dewine,R,U.S. Senate,,12714,71.66%
Putnam,Ted Celeste,D,U.S. Senate,,3616,20.38%
Putnam,John Mcalister,L,U.S. Senate,,310,1.75%
Putnam,John Eastman,N,U.S. Senate,,230,1.30%
Putnam,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Putnam,Patrick Flower,,U.S. Senate,,0,0.00%
Richland,Mike Dewine,R,U.S. Senate,,33237,61.45%
Richland,Ted Celeste,D,U.S. Senate,,16334,30.20%
Richland,John Mcalister,L,U.S. Senate,,1131,2.09%
Richland,John Eastman,N,U.S. Senate,,765,1.41%
Richland,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Richland,Patrick Flower,,U.S. Senate,,0,0.00%
Ross,Mike Dewine,R,U.S. Senate,,15062,57.17%
Ross,Ted Celeste,D,U.S. Senate,,9140,34.69%
Ross,John Mcalister,L,U.S. Senate,,576,2.19%
Ross,John Eastman,N,U.S. Senate,,271,1.03%
Ross,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Ross,Patrick Flower,,U.S. Senate,,0,0.00%
Sandusky,Mike Dewine,R,U.S. Senate,,16053,60.71%
Sandusky,Ted Celeste,D,U.S. Senate,,8084,30.57%
Sandusky,John Mcalister,L,U.S. Senate,,575,2.17%
Sandusky,John Eastman,N,U.S. Senate,,409,1.55%
Sandusky,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Sandusky,Patrick Flower,,U.S. Senate,,0,0.00%
Scioto,Mike Dewine,R,U.S. Senate,,15814,51.37%
Scioto,Ted Celeste,D,U.S. Senate,,11906,38.67%
Scioto,John Mcalister,L,U.S. Senate,,759,2.47%
Scioto,John Eastman,N,U.S. Senate,,375,1.22%
Scioto,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Scioto,Patrick Flower,,U.S. Senate,,0,0.00%
Seneca,Mike Dewine,R,U.S. Senate,,16045,64.36%
Seneca,Ted Celeste,D,U.S. Senate,,6732,27.00%
Seneca,John Mcalister,L,U.S. Senate,,549,2.20%
Seneca,John Eastman,N,U.S. Senate,,482,1.93%
Seneca,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Seneca,Patrick Flower,,U.S. Senate,,0,0.00%
Shelby,Mike Dewine,R,U.S. Senate,,13630,69.29%
Shelby,Ted Celeste,D,U.S. Senate,,4586,23.31%
Shelby,John Mcalister,L,U.S. Senate,,537,2.73%
Shelby,John Eastman,N,U.S. Senate,,353,1.79%
Shelby,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Shelby,Patrick Flower,,U.S. Senate,,0,0.00%
Stark,Mike Dewine,R,U.S. Senate,,95570,58.61%
Stark,Ted Celeste,D,U.S. Senate,,54351,33.33%
Stark,John Mcalister,L,U.S. Senate,,3789,2.32%
Stark,John Eastman,N,U.S. Senate,,2374,1.46%
