county,candidate,party,office,district,votes
Medina,Stewart Alexander,Socialist,President,,44
Medina,Susan Daniels,,President,,0
Medina,Nelson Keyton,,President,,0
Medina,Jill Reed,,President,,0
Medina,Platt Robertson,,President,,0
Medina,Randall Terry,,President,,0
Medina,Mike Vargo,,President,,0
Meigs,Mitt Romney,Republican,President,,5895
Meigs,Barack Obama,Democratic,President,,4027
Meigs,Gary Johnson,Libertarian,President,,111
Meigs,Jill Stein,Green,President,,70
Meigs,Richard Duncan,Independent,President,,66
Meigs,Virgil Goode,Constitution,President,,36
Meigs,Stewart Alexander,Socialist,President,,13
Meigs,Susan Daniels,,President,,0
Meigs,Nelson Keyton,,President,,0
Meigs,Jill Reed,,President,,0
Meigs,Platt Robertson,,President,,0
Meigs,Randall Terry,,President,,0
Meigs,Mike Vargo,,President,,0
Mercer,Mitt Romney,Republican,President,,16561
Mercer,Barack Obama,Democratic,President,,4745
Mercer,Gary Johnson,Libertarian,President,,142
Mercer,Jill Stein,Green,President,,83
Mercer,Richard Duncan,Independent,President,,65
Mercer,Virgil Goode,Constitution,President,,42
Mercer,Stewart Alexander,Socialist,President,,23
Mercer,Susan Daniels,,President,,0
Mercer,Nelson Keyton,,President,,0
Mercer,Jill Reed,,President,,0
Mercer,Platt Robertson,,President,,0
Mercer,Randall Terry,,President,,0
Mercer,Mike Vargo,,President,,0
Miami,Mitt Romney,Republican,President,,34606
Miami,Barack Obama,Democratic,President,,16383
Miami,Gary Johnson,Libertarian,President,,554
Miami,Jill Stein,Green,President,,144
Miami,Richard Duncan,Independent,President,,121
Miami,Virgil Goode,Constitution,President,,89
Miami,Stewart Alexander,Socialist,President,,39
Miami,Susan Daniels,,President,,0
Miami,Nelson Keyton,,President,,0
Miami,Jill Reed,,President,,0
Miami,Platt Robertson,,President,,0
Miami,Randall Terry,,President,,0
Miami,Mike Vargo,,President,,0
Monroe,Mitt Romney,Republican,President,,3548
Monroe,Barack Obama,Democratic,President,,3035
Monroe,Richard Duncan,Independent,President,,56
Monroe,Gary Johnson,Libertarian,President,,48
Monroe,Jill Stein,Green,President,,47
Monroe,Virgil Goode,Constitution,President,,37
Monroe,Stewart Alexander,Socialist,President,,8
Monroe,Susan Daniels,,President,,0
Monroe,Nelson Keyton,,President,,0
Monroe,Jill Reed,,President,,0
Monroe,Platt Robertson,,President,,0
Monroe,Randall Terry,,President,,0
Monroe,Mike Vargo,,President,,0
Montgomery,Barack Obama,Democratic,President,,137139
Montgomery,Mitt Romney,Republican,President,,124841
Montgomery,Gary Johnson,Libertarian,President,,2548
Montgomery,Jill Stein,Green,President,,775
Montgomery,Richard Duncan,Independent,President,,438
Montgomery,Virgil Goode,Constitution,President,,365
Montgomery,Stewart Alexander,Socialist,President,,172
Montgomery,Susan Daniels,,President,,0
Montgomery,Nelson Keyton,,President,,0
Montgomery,Jill Reed,,President,,0
Montgomery,Platt Robertson,,President,,0
Montgomery,Randall Terry,,President,,0
Montgomery,Mike Vargo,,President,,0
Morgan,Mitt Romney,Republican,President,,3179
Morgan,Barack Obama,Democratic,President,,2814
Morgan,Gary Johnson,Libertarian,President,,42
Morgan,Richard Duncan,Independent,President,,31
Morgan,Jill Stein,Green,President,,27
Morgan,Virgil Goode,Constitution,President,,24
Morgan,Stewart Alexander,Socialist,President,,10
Morgan,Randall Terry,,President,,2
Morgan,Susan Daniels,,President,,0
Morgan,Nelson Keyton,,President,,0
Morgan,Jill Reed,,President,,0
Morgan,Platt Robertson,,President,,0
Morgan,Mike Vargo,,President,,0
Morrow,Mitt Romney,Republican,President,,9865
Morrow,Barack Obama,Democratic,President,,5933
Morrow,Gary Johnson,Libertarian,President,,174
Morrow,Jill Stein,Green,President,,79
Morrow,Richard Duncan,Independent,President,,70
Morrow,Virgil Goode,Constitution,President,,39
Morrow,Stewart Alexander,Socialist,President,,22
Morrow,Mike Vargo,,President,,2
Morrow,Susan Daniels,,President,,0
Morrow,Nelson Keyton,,President,,0
Morrow,Jill Reed,,President,,0
Morrow,Platt Robertson,,President,,0
Morrow,Randall Terry,,President,,0
Muskingum,Mitt Romney,Republican,President,,19264
Muskingum,Barack Obama,Democratic,President,,17002
Muskingum,Gary Johnson,Libertarian,President,,352
Muskingum,Jill Stein,Green,President,,185
Muskingum,Richard Duncan,Independent,President,,158
Muskingum,Virgil Goode,Constitution,President,,89
Muskingum,Stewart Alexander,Socialist,President,,35
Muskingum,Mike Vargo,,President,,1
Muskingum,Susan Daniels,,President,,0
Muskingum,Nelson Keyton,,President,,0
Muskingum,Jill Reed,,President,,0
Muskingum,Platt Robertson,,President,,0
Muskingum,Randall Terry,,President,,0
Noble,Mitt Romney,Republican,President,,3563
Noble,Barack Obama,Democratic,President,,2131
Noble,Gary Johnson,Libertarian,President,,62
Noble,Richard Duncan,Independent,President,,52
Noble,Jill Stein,Green,President,,44
Noble,Virgil Goode,Constitution,President,,16
Noble,Stewart Alexander,Socialist,President,,4
Noble,Susan Daniels,,President,,0
Noble,Nelson Keyton,,President,,0
Noble,Jill Reed,,President,,0
Noble,Platt Robertson,,President,,0
Noble,Randall Terry,,President,,0
Noble,Mike Vargo,,President,,0
Ottawa,Barack Obama,Democratic,President,,11503
Ottawa,Mitt Romney,Republican,President,,10538
Ottawa,Gary Johnson,Libertarian,President,,220
Ottawa,Jill Stein,Green,President,,97
Ottawa,Richard Duncan,Independent,President,,56
Ottawa,Virgil Goode,Constitution,President,,32
Ottawa,Stewart Alexander,Socialist,President,,9
Ottawa,Susan Daniels,,President,,0
Ottawa,Nelson Keyton,,President,,0
Ottawa,Jill Reed,,President,,0
Ottawa,Platt Robertson,,President,,0
Ottawa,Randall Terry,,President,,0
Ottawa,Mike Vargo,,President,,0
Paulding,Mitt Romney,Republican,President,,5354
Paulding,Barack Obama,Democratic,President,,3538
Paulding,Gary Johnson,Libertarian,President,,101
Paulding,Jill Stein,Green,President,,48
Paulding,Richard Duncan,Independent,President,,47
Paulding,Virgil Goode,Constitution,President,,33
Paulding,Stewart Alexander,Socialist,President,,7
Paulding,Susan Daniels,,President,,0
Paulding,Nelson Keyton,,President,,0
Paulding,Jill Reed,,President,,0
Paulding,Platt Robertson,,President,,0
Paulding,Randall Terry,,President,,0
Paulding,Mike Vargo,,President,,0
Perry,Mitt Romney,Republican,President,,7627
Perry,Barack Obama,Democratic,President,,7033
Perry,Gary Johnson,Libertarian,President,,120
Perry,Jill Stein,Green,President,,76
Perry,Richard Duncan,Independent,President,,63
Perry,Virgil Goode,Constitution,President,,49
Perry,Stewart Alexander,Socialist,President,,15
Perry,Susan Daniels,,President,,0
Perry,Nelson Keyton,,President,,0
Perry,Jill Reed,,President,,0
Perry,Platt Robertson,,President,,0
Perry,Randall Terry,,President,,0
Perry,Mike Vargo,,President,,0
Pickaway,Mitt Romney,Republican,President,,14037
Pickaway,Barack Obama,Democratic,President,,9684
Pickaway,Gary Johnson,Libertarian,President,,206
Pickaway,Jill Stein,Green,President,,74
Pickaway,Richard Duncan,Independent,President,,56
Pickaway,Virgil Goode,Constitution,President,,48
Pickaway,Stewart Alexander,Socialist,President,,18
Pickaway,Susan Daniels,,President,,0
Pickaway,Nelson Keyton,,President,,0
Pickaway,Jill Reed,,President,,0
Pickaway,Platt Robertson,,President,,0
Pickaway,Randall Terry,,President,,0
Pickaway,Mike Vargo,,President,,0
Pike,Mitt Romney,Republican,President,,5685
Pike,Barack Obama,Democratic,President,,5684
Pike,Gary Johnson,Libertarian,President,,77
Pike,Richard Duncan,Independent,President,,51
Pike,Jill Stein,Green,President,,44
Pike,Virgil Goode,Constitution,President,,28
Pike,Stewart Alexander,Socialist,President,,12
Pike,Susan Daniels,,President,,0
Pike,Nelson Keyton,,President,,0
Pike,Jill Reed,,President,,0
Pike,Platt Robertson,,President,,0
Pike,Randall Terry,,President,,0
Pike,Mike Vargo,,President,,0
Portage,Barack Obama,Democratic,President,,39453
Portage,Mitt Romney,Republican,President,,35242
Portage,Gary Johnson,Libertarian,President,,844
Portage,Jill Stein,Green,President,,316
Portage,Richard Duncan,Independent,President,,196
Portage,Virgil Goode,Constitution,President,,125
Portage,Stewart Alexander,Socialist,President,,63
Portage,Susan Daniels,,President,,0
Portage,Nelson Keyton,,President,,0
Portage,Jill Reed,,President,,0
Portage,Platt Robertson,,President,,0
Portage,Randall Terry,,President,,0
Portage,Mike Vargo,,President,,0
Preble,Mitt Romney,Republican,President,,13535
Preble,Barack Obama,Democratic,President,,6211
Preble,Gary Johnson,Libertarian,President,,230
Preble,Jill Stein,Green,President,,82
Preble,Richard Duncan,Independent,President,,63
Preble,Virgil Goode,Constitution,President,,36
Preble,Stewart Alexander,Socialist,President,,10
Preble,Susan Daniels,,President,,0
Preble,Nelson Keyton,,President,,0
Preble,Jill Reed,,President,,0
Preble,Platt Robertson,,President,,0
Preble,Randall Terry,,President,,0
Preble,Mike Vargo,,President,,0
Putnam,Mitt Romney,Republican,President,,13721
Putnam,Barack Obama,Democratic,President,,4318
Putnam,Gary Johnson,Libertarian,President,,160
Putnam,Jill Stein,Green,President,,71
Putnam,Richard Duncan,Independent,President,,58
Putnam,Virgil Goode,Constitution,President,,30
Putnam,Stewart Alexander,Socialist,President,,13
Putnam,Susan Daniels,,President,,0
Putnam,Nelson Keyton,,President,,0
Putnam,Jill Reed,,President,,0
Putnam,Platt Robertson,,President,,0
Putnam,Randall Terry,,President,,0
Putnam,Mike Vargo,,President,,0
Richland,Mitt Romney,Republican,President,,33867
Richland,Barack Obama,Democratic,President,,22687
Richland,Gary Johnson,Libertarian,President,,503
Richland,Jill Stein,Green,President,,245
Richland,Richard Duncan,Independent,President,,213
Richland,Virgil Goode,Constitution,President,,140
Richland,Stewart Alexander,Socialist,President,,57
Richland,Mike Vargo,,President,,2
Richland,Susan Daniels,,President,,1
Richland,Nelson Keyton,,President,,0
Richland,Jill Reed,,President,,0
Richland,Platt Robertson,,President,,0
Richland,Randall Terry,,President,,0
Ross,Mitt Romney,Republican,President,,15008
Ross,Barack Obama,Democratic,President,,14569
Ross,Gary Johnson,Libertarian,President,,223
Ross,Jill Stein,Green,President,,105
Ross,Richard Duncan,Independent,President,,85
Ross,Virgil Goode,Constitution,President,,75
Ross,Stewart Alexander,Socialist,President,,18
Ross,Susan Daniels,,President,,0
Ross,Nelson Keyton,,President,,0
Ross,Jill Reed,,President,,0
Ross,Platt Robertson,,President,,0
Ross,Randall Terry,,President,,0
Ross,Mike Vargo,,President,,0
Sandusky,Barack Obama,Democratic,President,,14541
Sandusky,Mitt Romney,Republican,President,,13755
Sandusky,Gary Johnson,Libertarian,President,,324
Sandusky,Jill Stein,Green,President,,162
Sandusky,Richard Duncan,Independent,President,,123
Sandusky,Virgil Goode,Constitution,President,,60
Sandusky,Stewart Alexander,Socialist,President,,27
Sandusky,Susan Daniels,,President,,0
Sandusky,Nelson Keyton,,President,,0
Sandusky,Jill Reed,,President,,0
Sandusky,Platt Robertson,,President,,0
Sandusky,Randall Terry,,President,,0
Sandusky,Mike Vargo,,President,,0
Scioto,Mitt Romney,Republican,President,,15492
Scioto,Barack Obama,Democratic,President,,15077
Scioto,Gary Johnson,Libertarian,President,,211
Scioto,Jill Stein,Green,President,,154
Scioto,Richard Duncan,Independent,President,,151
Scioto,Virgil Goode,Constitution,President,,53
Scioto,Stewart Alexander,Socialist,President,,23
Scioto,Susan Daniels,,President,,0
Scioto,Nelson Keyton,,President,,0
Scioto,Jill Reed,,President,,0
Scioto,Platt Robertson,,President,,0
Scioto,Randall Terry,,President,,0
Scioto,Mike Vargo,,President,,0
Seneca,Mitt Romney,Republican,President,,13243
Seneca,Barack Obama,Democratic,President,,11353
Seneca,Gary Johnson,Libertarian,President,,316
Seneca,Jill Stein,Green,President,,136
Seneca,Richard Duncan,Independent,President,,118
Seneca,Virgil Goode,Constitution,President,,69
Seneca,Stewart Alexander,Socialist,President,,27
Seneca,Susan Daniels,,President,,0
Seneca,Nelson Keyton,,President,,0
Seneca,Jill Reed,,President,,0
Seneca,Platt Robertson,,President,,0
Seneca,Randall Terry,,President,,0
Seneca,Mike Vargo,,President,,0
Shelby,Mitt Romney,Republican,President,,17142
Shelby,Barack Obama,Democratic,President,,6343
Shelby,Gary Johnson,Libertarian,President,,178
Shelby,Jill Stein,Green,President,,75
Shelby,Richard Duncan,Independent,President,,74
Shelby,Virgil Goode,Constitution,President,,38
Shelby,Stewart Alexander,Socialist,President,,15
Shelby,Jill Reed,,President,,1
Shelby,Susan Daniels,,President,,0
Shelby,Nelson Keyton,,President,,0
Shelby,Platt Robertson,,President,,0
Shelby,Randall Terry,,President,,0
Shelby,Mike Vargo,,President,,0
Stark,Barack Obama,Democratic,President,,89432
Stark,Mitt Romney,Republican,President,,88581
Stark,Gary Johnson,Libertarian,President,,1588
Stark,Jill Stein,Green,President,,732
Stark,Richard Duncan,Independent,President,,592
Stark,Virgil Goode,Constitution,President,,371
Stark,Stewart Alexander,Socialist,President,,178
Stark,Mike Vargo,,President,,2
Stark,Jill Reed,,President,,1
Stark,Susan Daniels,,President,,0
Stark,Nelson Keyton,,President,,0
Stark,Platt Robertson,,President,,0
Stark,Randall Terry,,President,,0
Summit,Barack Obama,Democratic,President,,153041
Summit,Mitt Romney,Republican,President,,111001
Summit,Gary Johnson,Libertarian,President,,2059
Summit,Jill Stein,Green,President,,764
Summit,Richard Duncan,Independent,President,,458
Summit,Virgil Goode,Constitution,President,,310
Summit,Stewart Alexander,Socialist,President,,76
Summit,Susan Daniels,,President,,0
Summit,Nelson Keyton,,President,,0
Summit,Jill Reed,,President,,0
Summit,Platt Robertson,,President,,0
Summit,Randall Terry,,President,,0
Summit,Mike Vargo,,President,,0
Trumbull,Barack Obama,Democratic,President,,61672
Trumbull,Mitt Romney,Republican,President,,38279
Trumbull,Gary Johnson,Libertarian,President,,739
Trumbull,Jill Stein,Green,President,,432
Trumbull,Richard Duncan,Independent,President,,336
Trumbull,Virgil Goode,Constitution,President,,177
Trumbull,Stewart Alexander,Socialist,President,,83
Trumbull,Randall Terry,,President,,1
Trumbull,Susan Daniels,,President,,0
Trumbull,Nelson Keyton,,President,,0
Trumbull,Jill Reed,,President,,0
Trumbull,Platt Robertson,,President,,0
Trumbull,Mike Vargo,,President,,0
Tuscarawas,Mitt Romney,Republican,President,,22242
Tuscarawas,Barack Obama,Democratic,President,,18407
Tuscarawas,Gary Johnson,Libertarian,President,,435
Tuscarawas,Richard Duncan,Independent,President,,189
Tuscarawas,Jill Stein,Green,President,,175
Tuscarawas,Virgil Goode,Constitution,President,,114
Tuscarawas,Stewart Alexander,Socialist,President,,51
Tuscarawas,Susan Daniels,,President,,0
Tuscarawas,Nelson Keyton,,President,,0
Tuscarawas,Jill Reed,,President,,0
Tuscarawas,Platt Robertson,,President,,0
Tuscarawas,Randall Terry,,President,,0
Tuscarawas,Mike Vargo,,President,,0
Union,Mitt Romney,Republican,President,,16289
Union,Barack Obama,Democratic,President,,8805
Union,Gary Johnson,Libertarian,President,,280
Union,Jill Stein,Green,President,,83
Union,Richard Duncan,Independent,President,,53
Union,Virgil Goode,Constitution,President,,51
Union,Stewart Alexander,Socialist,President,,6
Union,Susan Daniels,,President,,0
Union,Nelson Keyton,,President,,0
Union,Jill Reed,,President,,0
Union,Platt Robertson,,President,,0
Union,Randall Terry,,President,,0
Union,Mike Vargo,,President,,0
Van Wert,Mitt Romney,Republican,President,,9585
Van Wert,Barack Obama,Democratic,President,,4029
Van Wert,Gary Johnson,Libertarian,President,,95
Van Wert,Jill Stein,Green,President,,65
Van Wert,Richard Duncan,Independent,President,,45
Van Wert,Virgil Goode,Constitution,President,,24
Van Wert,Stewart Alexander,Socialist,President,,0
Van Wert,Susan Daniels,,President,,0
Van Wert,Nelson Keyton,,President,,0
Van Wert,Jill Reed,,President,,0
Van Wert,Platt Robertson,,President,,0
Van Wert,Randall Terry,,President,,0
Van Wert,Mike Vargo,,President,,0
Vinton,Mitt Romney,Republican,President,,2856
Vinton,Barack Obama,Democratic,President,,2436
Vinton,Gary Johnson,Libertarian,President,,62
Vinton,Richard Duncan,Independent,President,,49
Vinton,Jill Stein,Green,President,,41
Vinton,Virgil Goode,Constitution,President,,20
Vinton,Stewart Alexander,Socialist,President,,3
Vinton,Susan Daniels,,President,,0
Vinton,Nelson Keyton,,President,,0
Vinton,Jill Reed,,President,,0
Vinton,Platt Robertson,,President,,0
Vinton,Randall Terry,,President,,0
Vinton,Mike Vargo,,President,,0
Warren,Mitt Romney,Republican,President,,76564
Warren,Barack Obama,Democratic,President,,32909
Warren,Gary Johnson,Libertarian,President,,1011
Warren,Jill Stein,Green,President,,220
Warren,Richard Duncan,Independent,President,,156
Warren,Virgil Goode,Constitution,President,,124
Warren,Stewart Alexander,Socialist,President,,23
Warren,Susan Daniels,,President,,0
Warren,Nelson Keyton,,President,,0
Warren,Jill Reed,,President,,0
Warren,Platt Robertson,,President,,0
Warren,Randall Terry,,President,,0
Warren,Mike Vargo,,President,,0
Washington,Mitt Romney,Republican,President,,17284
Washington,Barack Obama,Democratic,President,,11651
Washington,Gary Johnson,Libertarian,President,,235
Washington,Jill Stein,Green,President,,134
Washington,Richard Duncan,Independent,President,,123
Washington,Virgil Goode,Constitution,President,,58
Washington,Stewart Alexander,Socialist,President,,14
Washington,Susan Daniels,,President,,0
Washington,Nelson Keyton,,President,,0
Washington,Jill Reed,,President,,0
Washington,Platt Robertson,,President,,0
Washington,Randall Terry,,President,,0
Washington,Mike Vargo,,President,,0
Wayne,Mitt Romney,Republican,President,,30251
Wayne,Barack Obama,Democratic,President,,19808
Wayne,Gary Johnson,Libertarian,President,,451
Wayne,Jill Stein,Green,President,,184
Wayne,Richard Duncan,Independent,President,,179
Wayne,Virgil Goode,Constitution,President,,146
Wayne,Stewart Alexander,Socialist,President,,44
Wayne,Randall Terry,,President,,1
Wayne,Susan Daniels,,President,,0
Wayne,Nelson Keyton,,President,,0
Wayne,Jill Reed,,President,,0
Wayne,Platt Robertson,,President,,0
Wayne,Mike Vargo,,President,,0
Williams,Mitt Romney,Republican,President,,10047
Williams,Barack Obama,Democratic,President,,7266
Williams,Gary Johnson,Libertarian,President,,148
Williams,Jill Stein,Green,President,,95
Williams,Richard Duncan,Independent,President,,87
Williams,Virgil Goode,Constitution,President,,54
Williams,Stewart Alexander,Socialist,President,,9
Williams,Susan Daniels,,President,,0
Williams,Nelson Keyton,,President,,0
Williams,Jill Reed,,President,,0
Williams,Platt Robertson,,President,,0
Williams,Randall Terry,,President,,0
Williams,Mike Vargo,,President,,0
Wood,Barack Obama,Democratic,President,,32802
Wood,Mitt Romney,Republican,President,,29704
Wood,Gary Johnson,Libertarian,President,,940
Wood,Jill Stein,Green,President,,279
Wood,Richard Duncan,Independent,President,,117
Wood,Virgil Goode,Constitution,President,,62
Wood,Stewart Alexander,Socialist,President,,44
Wood,Susan Daniels,,President,,0
Wood,Nelson Keyton,,President,,0
Wood,Jill Reed,,President,,0
Wood,Platt Robertson,,President,,0
Wood,Randall Terry,,President,,0
Wood,Mike Vargo,,President,,0
Wyandot,Mitt Romney,Republican,President,,6180
Wyandot,Barack Obama,Democratic,President,,4137
Wyandot,Gary Johnson,Libertarian,President,,99
Wyandot,Jill Stein,Green,President,,68
Wyandot,Richard Duncan,Independent,President,,58
Wyandot,Virgil Goode,Constitution,President,,18
Wyandot,Stewart Alexander,Socialist,President,,12
Wyandot,Susan Daniels,,President,,0
Wyandot,Nelson Keyton,,President,,0
Wyandot,Jill Reed,,President,,0
Wyandot,Platt Robertson,,President,,0
Wyandot,Randall Terry,,President,,0
Wyandot,Mike Vargo,,President,,0
Adams,Josh Mandel,Republican,U.S. Senate,,6410
Adams,Sherrod Brown,Democratic,U.S. Senate,,3924
Adams,Scott Rupert,Independent,U.S. Senate,,609
Allen,Josh Mandel,Republican,U.S. Senate,,28817
Allen,Sherrod Brown,Democratic,U.S. Senate,,17456
Allen,Scott Rupert,Independent,U.S. Senate,,1535
Ashland,Josh Mandel,Republican,U.S. Senate,,14260
Ashland,Sherrod Brown,Democratic,U.S. Senate,,8006
Ashland,Scott Rupert,Independent,U.S. Senate,,1593
Ashtabula,Sherrod Brown,Democratic,U.S. Senate,,21973
Ashtabula,Josh Mandel,Republican,U.S. Senate,,17780
Ashtabula,Scott Rupert,Independent,U.S. Senate,,2848
Athens,Sherrod Brown,Democratic,U.S. Senate,,17662
Athens,Josh Mandel,Republican,U.S. Senate,,8066
Athens,Scott Rupert,Independent,U.S. Senate,,1200
Auglaize,Josh Mandel,Republican,U.S. Senate,,16481
Auglaize,Sherrod Brown,Democratic,U.S. Senate,,5417
Auglaize,Scott Rupert,Independent,U.S. Senate,,942
Belmont,Sherrod Brown,Democratic,U.S. Senate,,15021
Belmont,Josh Mandel,Republican,U.S. Senate,,14370
Belmont,Scott Rupert,Independent,U.S. Senate,,1385
Brown,Josh Mandel,Republican,U.S. Senate,,10473
Brown,Sherrod Brown,Democratic,U.S. Senate,,6613
Brown,Scott Rupert,Independent,U.S. Senate,,994
Butler,Josh Mandel,Republican,U.S. Senate,,97228
Butler,Sherrod Brown,Democratic,U.S. Senate,,61933
Butler,Scott Rupert,Independent,U.S. Senate,,7540
Carroll,Josh Mandel,Republican,U.S. Senate,,6727
Carroll,Sherrod Brown,Democratic,U.S. Senate,,5154
Carroll,Scott Rupert,Independent,U.S. Senate,,1046
Champaign,Josh Mandel,Republican,U.S. Senate,,10541
Champaign,Sherrod Brown,Democratic,U.S. Senate,,6565
Champaign,Scott Rupert,Independent,U.S. Senate,,1131
Clark,Sherrod Brown,Democratic,U.S. Senate,,30599
Clark,Josh Mandel,Republican,U.S. Senate,,30220
Clark,Scott Rupert,Independent,U.S. Senate,,2951
Clermont,Josh Mandel,Republican,U.S. Senate,,58220
Clermont,Sherrod Brown,Democratic,U.S. Senate,,29834
Clermont,Scott Rupert,Independent,U.S. Senate,,4820
Clinton,Josh Mandel,Republican,U.S. Senate,,11211
Clinton,Sherrod Brown,Democratic,U.S. Senate,,5730
Clinton,Scott Rupert,Independent,U.S. Senate,,1007
Columbiana,Josh Mandel,Republican,U.S. Senate,,21884
Columbiana,Sherrod Brown,Democratic,U.S. Senate,,20382
Columbiana,Scott Rupert,Independent,U.S. Senate,,3201
Coshocton,Josh Mandel,Republican,U.S. Senate,,8037
Coshocton,Sherrod Brown,Democratic,U.S. Senate,,6457
Coshocton,Scott Rupert,Independent,U.S. Senate,,1088
Crawford,Josh Mandel,Republican,U.S. Senate,,11168
Crawford,Sherrod Brown,Democratic,U.S. Senate,,7197
Crawford,Scott Rupert,Independent,U.S. Senate,,1206
Cuyahoga,Sherrod Brown,Democratic,U.S. Senate,,427597
Cuyahoga,Josh Mandel,Republican,U.S. Senate,,167263
Cuyahoga,Scott Rupert,Independent,U.S. Senate,,20614
Darke,Josh Mandel,Republican,U.S. Senate,,17204
Darke,Sherrod Brown,Democratic,U.S. Senate,,6649
Darke,Scott Rupert,Independent,U.S. Senate,,1261
Defiance,Josh Mandel,Republican,U.S. Senate,,9566
Defiance,Sherrod Brown,Democratic,U.S. Senate,,7314
Defiance,Scott Rupert,Independent,U.S. Senate,,1047
Delaware,Josh Mandel,Republican,U.S. Senate,,55260
Delaware,Sherrod Brown,Democratic,U.S. Senate,,37374
Delaware,Scott Rupert,Independent,U.S. Senate,,4001
Erie,Sherrod Brown,Democratic,U.S. Senate,,21035
Erie,Josh Mandel,Republican,U.S. Senate,,15653
Erie,Scott Rupert,Independent,U.S. Senate,,2186
Fairfield,Josh Mandel,Republican,U.S. Senate,,38185
Fairfield,Sherrod Brown,Democratic,U.S. Senate,,29111
Fairfield,Scott Rupert,Independent,U.S. Senate,,3691
Fayette,Josh Mandel,Republican,U.S. Senate,,6121
Fayette,Sherrod Brown,Democratic,U.S. Senate,,4000
Fayette,Scott Rupert,Independent,U.S. Senate,,537
Franklin,Sherrod Brown,Democratic,U.S. Senate,,339260
Franklin,Josh Mandel,Republican,U.S. Senate,,199293
Franklin,Scott Rupert,Independent,U.S. Senate,,22041
Fulton,Josh Mandel,Republican,U.S. Senate,,11269
Fulton,Sherrod Brown,Democratic,U.S. Senate,,8534
Fulton,Scott Rupert,Independent,U.S. Senate,,1117
Gallia,Josh Mandel,Republican,U.S. Senate,,6760
Gallia,Sherrod Brown,Democratic,U.S. Senate,,5060
Gallia,Scott Rupert,Independent,U.S. Senate,,507
Geauga,Josh Mandel,Republican,U.S. Senate,,27533
Geauga,Sherrod Brown,Democratic,U.S. Senate,,20264
Geauga,Scott Rupert,Independent,U.S. Senate,,2255
Greene,Josh Mandel,Republican,U.S. Senate,,46979
Greene,Sherrod Brown,Democratic,U.S. Senate,,32243
Greene,Scott Rupert,Independent,U.S. Senate,,3142
Guernsey,Josh Mandel,Republican,U.S. Senate,,8477
Guernsey,Sherrod Brown,Democratic,U.S. Senate,,6868
Guernsey,Scott Rupert,Independent,U.S. Senate,,971
Hamilton,Sherrod Brown,Democratic,U.S. Senate,,219299
Hamilton,Josh Mandel,Republican,U.S. Senate,,176058
Hamilton,Scott Rupert,Independent,U.S. Senate,,14388
Hancock,Josh Mandel,Republican,U.S. Senate,,21520
Hancock,Sherrod Brown,Democratic,U.S. Senate,,11894
Hancock,Scott Rupert,Independent,U.S. Senate,,1773
Hardin,Josh Mandel,Republican,U.S. Senate,,7131
Hardin,Sherrod Brown,Democratic,U.S. Senate,,4416
Hardin,Scott Rupert,Independent,U.S. Senate,,717
Harrison,Josh Mandel,Republican,U.S. Senate,,3498
Harrison,Sherrod Brown,Democratic,U.S. Senate,,3176
Harrison,Scott Rupert,Independent,U.S. Senate,,389
Henry,Josh Mandel,Republican,U.S. Senate,,7738
Henry,Sherrod Brown,Democratic,U.S. Senate,,5448
Henry,Scott Rupert,Independent,U.S. Senate,,829
Highland,Josh Mandel,Republican,U.S. Senate,,10683
Highland,Sherrod Brown,Democratic,U.S. Senate,,5982
Highland,Scott Rupert,Independent,U.S. Senate,,964
Hocking,Josh Mandel,Republican,U.S. Senate,,6057
Hocking,Sherrod Brown,Democratic,U.S. Senate,,5717
Hocking,Scott Rupert,Independent,U.S. Senate,,802
Holmes,Josh Mandel,Republican,U.S. Senate,,8252
Holmes,Sherrod Brown,Democratic,U.S. Senate,,2506
Holmes,Scott Rupert,Independent,U.S. Senate,,633
Huron,Josh Mandel,Republican,U.S. Senate,,12443
Huron,Sherrod Brown,Democratic,U.S. Senate,,10083
Huron,Scott Rupert,Independent,U.S. Senate,,1751
Jackson,Josh Mandel,Republican,U.S. Senate,,7268
Jackson,Sherrod Brown,Democratic,U.S. Senate,,5258
Jackson,Scott Rupert,Independent,U.S. Senate,,658
Jefferson,Sherrod Brown,Democratic,U.S. Senate,,16031
Jefferson,Josh Mandel,Republican,U.S. Senate,,14786
Jefferson,Scott Rupert,Independent,U.S. Senate,,1496
Knox,Josh Mandel,Republican,U.S. Senate,,16237
Knox,Sherrod Brown,Democratic,U.S. Senate,,10186
Knox,Scott Rupert,Independent,U.S. Senate,,1562
Lake,Sherrod Brown,Democratic,U.S. Senate,,54981
Lake,Josh Mandel,Republican,U.S. Senate,,52795
Lake,Scott Rupert,Independent,U.S. Senate,,6128
Lawrence,Josh Mandel,Republican,U.S. Senate,,12407
Lawrence,Sherrod Brown,Democratic,U.S. Senate,,11085
Lawrence,Scott Rupert,Independent,U.S. Senate,,1076
Licking,Josh Mandel,Republican,U.S. Senate,,42691
Licking,Sherrod Brown,Democratic,U.S. Senate,,33097
Licking,Scott Rupert,Independent,U.S. Senate,,4445
Logan,Josh Mandel,Republican,U.S. Senate,,13303
Logan,Sherrod Brown,Democratic,U.S. Senate,,6479
Logan,Scott Rupert,Independent,U.S. Senate,,1240
Lorain,Sherrod Brown,Democratic,U.S. Senate,,80854
